Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 64.0.3282.186,,2018-03-10 21:24:53,2018-03-10 21:24:54,1.000s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:54,2018-03-10 21:24:54,0.320s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:54,2018-03-10 21:24:54,0.279s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:24:54,2018-03-10 21:24:55,1.001s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:55,2018-03-10 21:24:56,0.229s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:56,2018-03-10 21:24:56,0.206s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:24:56,2018-03-10 21:24:57,1.002s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:24:57,2018-03-10 21:24:57,0.374s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:57,2018-03-10 21:24:58,0.946s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:58,2018-03-10 21:24:58,0.359s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:58,2018-03-10 21:25:03,4.601s,PASSED
switchToWindowTitle,Chrome 64.0.3282.186,,2018-03-10 21:25:03,2018-03-10 21:25:03,0.122s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:25:03,2018-03-10 21:25:05,2.310s,PASSED
takeScreenshot,Chrome 64.0.3282.186,,2018-03-10 21:25:05,2018-03-10 21:25:06,0.621s,PASSED
,,,,,,
Test Cases/existing user,Chrome 64.0.3282.186,,2018-03-10 21:25:06,2018-03-10 21:25:51,45.124s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-10 21:25:06,2018-03-10 21:25:10,3.596s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-10 21:25:10,2018-03-10 21:25:14,4.048s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:25:14,2018-03-10 21:25:16,2.296s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:25:16,2018-03-10 21:25:17,0.499s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:25:17,2018-03-10 21:25:17,0.383s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:25:17,2018-03-10 21:25:18,0.990s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:25:18,2018-03-10 21:25:51,33.017s,FAILED
,,,,,,
Test Cases/Purchase_newuser_Accesscode,Chrome 64.0.3282.186,Purchase via dashboard using access code for a new registered user,2018-03-10 21:25:51,2018-03-10 21:26:04,12.969s,ERROR
openBrowser,Chrome 64.0.3282.186,,2018-03-10 21:25:52,2018-03-10 21:26:02,10.402s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-10 21:26:02,2018-03-10 21:26:04,2.009s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:26:04,2018-03-10 21:26:04,0.001s,PASSED
