Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTestCases,Chrome 64.0.3282.186,,2018-03-10 21:23:46,2018-03-10 21:26:06,2m - 19.865s,FAILED
,,,,,,
Test Cases/WebAssign_NewUser,Chrome 64.0.3282.186,,2018-03-10 21:23:47,2018-03-10 21:24:33,46.637s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-10 21:23:47,2018-03-10 21:23:52,4.618s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-10 21:23:52,2018-03-10 21:23:54,1.968s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:23:54,2018-03-10 21:23:54,0.313s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:23:54,2018-03-10 21:23:55,0.428s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:23:55,2018-03-10 21:23:55,0.371s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:23:55,2018-03-10 21:23:55,0.327s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:23:55,2018-03-10 21:23:56,0.423s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:23:56,2018-03-10 21:23:56,0.238s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:23:56,2018-03-10 21:23:57,0.853s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:23:57,2018-03-10 21:23:57,0.256s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:23:57,2018-03-10 21:23:58,0.607s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:23:58,2018-03-10 21:23:58,0.290s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:23:58,2018-03-10 21:23:58,0.373s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:23:58,2018-03-10 21:23:59,0.378s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:23:59,2018-03-10 21:23:59,0.405s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:23:59,2018-03-10 21:23:59,0.320s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:23:59,2018-03-10 21:24:00,0.218s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:24:00,2018-03-10 21:24:02,2.028s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:02,2018-03-10 21:24:33,31.500s,FAILED
,,,,,,
Test Cases/Student_Reg,Chrome 64.0.3282.186,,2018-03-10 21:24:33,2018-03-10 21:25:06,32.937s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-10 21:24:34,2018-03-10 21:24:37,3.638s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-10 21:24:37,2018-03-10 21:24:39,1.636s,PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-10 21:24:39,2018-03-10 21:24:40,1.437s,PASSED
Statement - ran = new java.util.Random(),Chrome 64.0.3282.186,,2018-03-10 21:24:40,2018-03-10 21:24:40,0.008s,PASSED
Statement - t = ran.nextInt(100),Chrome 64.0.3282.186,,2018-03-10 21:24:40,2018-03-10 21:24:40,0.038s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:40,2018-03-10 21:24:41,0.292s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:41,2018-03-10 21:24:43,1.824s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:24:43,2018-03-10 21:24:43,0.636s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:43,2018-03-10 21:24:45,1.593s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:24:45,2018-03-10 21:24:45,0.441s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:24:45,2018-03-10 21:24:46,0.335s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:24:46,2018-03-10 21:24:46,0.609s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:24:46,2018-03-10 21:24:47,0.384s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:47,2018-03-10 21:24:47,0.250s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:24:47,2018-03-10 21:24:49,2.006s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:49,2018-03-10 21:24:49,0.217s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:24:49,2018-03-10 21:24:49,0.350s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:49,2018-03-10 21:24:49,0.162s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:49,2018-03-10 21:24:50,0.194s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:50,2018-03-10 21:24:51,1.132s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:51,2018-03-10 21:24:51,0.237s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:24:51,2018-03-10 21:24:52,1.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:52,2018-03-10 21:24:52,0.362s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:24:52,2018-03-10 21:24:53,0.278s,PASSED
