Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTestCases,Chrome 64.0.3282.186,,2018-03-05 15:00:17,2018-03-05 15:00:26,8.168s,ERROR
,,,,,,
Test Cases/WebAssign_NewUser,Chrome 64.0.3282.186,,2018-03-05 15:00:18,2018-03-05 15:00:24,6.529s,ERROR
openBrowser,Chrome 64.0.3282.186,,2018-03-05 15:00:19,2018-03-05 15:00:24,5.708s,PASSED
"Statement - generator = { java.lang.String alphabet, int n -> ... }",Chrome 64.0.3282.186,,2018-03-05 15:00:24,2018-03-05 15:00:24,0.002s,PASSED
"Statement - va = generator.call((A..Z) + (0..9).join(), 9)",Chrome 64.0.3282.186,,2018-03-05 15:00:24,2018-03-05 15:00:24,0.026s,PASSED
