Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Logins,Chrome 63.0.3239.132,,2018-02-20 22:51:35,2018-02-20 22:52:00,25.007s,FAILED
,,,,,,
Test Cases/CHECKOUT,Chrome 63.0.3239.132,,2018-02-20 22:51:36,2018-02-20 22:51:50,13.791s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-02-20 22:51:36,2018-02-20 22:51:40,3.437s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-20 22:51:40,2018-02-20 22:51:49,9.043s,PASSED
click,Chrome 63.0.3239.132,,2018-02-20 22:51:49,2018-02-20 22:51:50,0.890s,FAILED
,,,,,,
Test Cases/CHECKOUT,Chrome 63.0.3239.132,,2018-02-20 22:51:50,2018-02-20 22:52:00,10.011s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-02-20 22:51:50,2018-02-20 22:51:52,2.672s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-20 22:51:52,2018-02-20 22:51:59,6.583s,PASSED
click,Chrome 63.0.3239.132,,2018-02-20 22:51:59,2018-02-20 22:52:00,0.727s,FAILED
