Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTestCases,Chrome 64.0.3282.186,,2018-03-10 21:42:35,2018-03-10 21:45:39,3m - 4.435s,FAILED
,,,,,,
Test Cases/WebAssign_NewUser,Chrome 64.0.3282.186,,2018-03-10 21:42:36,2018-03-10 21:43:47,1m - 11.279s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-10 21:42:36,2018-03-10 21:42:48,11.344s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-10 21:42:48,2018-03-10 21:42:54,5.951s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:42:54,2018-03-10 21:42:59,4.865s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:42:59,2018-03-10 21:43:02,3.266s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:43:02,2018-03-10 21:43:03,0.977s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:43:03,2018-03-10 21:43:04,0.832s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:43:04,2018-03-10 21:43:04,0.798s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:43:04,2018-03-10 21:43:06,1.151s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:43:06,2018-03-10 21:43:06,0.739s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:43:06,2018-03-10 21:43:07,0.255s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:43:07,2018-03-10 21:43:08,1.193s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:43:08,2018-03-10 21:43:08,0.450s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:43:08,2018-03-10 21:43:09,0.397s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:43:09,2018-03-10 21:43:09,0.543s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:43:09,2018-03-10 21:43:09,0.332s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:43:09,2018-03-10 21:43:10,0.140s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:43:10,2018-03-10 21:43:10,0.178s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:43:10,2018-03-10 21:43:12,2.038s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:43:12,2018-03-10 21:43:47,35.148s,FAILED
,,,,,,
Test Cases/Student_Reg,Chrome 64.0.3282.186,,2018-03-10 21:43:47,2018-03-10 21:44:24,36.709s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-10 21:43:48,2018-03-10 21:43:51,3.681s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-10 21:43:51,2018-03-10 21:43:59,7.323s,PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-10 21:43:59,2018-03-10 21:44:00,1.488s,PASSED
Statement - ran = new java.util.Random(),Chrome 64.0.3282.186,,2018-03-10 21:44:00,2018-03-10 21:44:00,0.017s,PASSED
Statement - t = ran.nextInt(100),Chrome 64.0.3282.186,,2018-03-10 21:44:00,2018-03-10 21:44:00,0.003s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:44:00,2018-03-10 21:44:00,0.221s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:44:00,2018-03-10 21:44:02,1.522s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:44:02,2018-03-10 21:44:02,0.339s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:44:02,2018-03-10 21:44:03,1.315s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:44:03,2018-03-10 21:44:04,0.265s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:44:04,2018-03-10 21:44:04,0.448s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:44:04,2018-03-10 21:44:05,0.400s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:44:05,2018-03-10 21:44:05,0.375s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:44:05,2018-03-10 21:44:05,0.204s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:44:05,2018-03-10 21:44:07,2.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:44:07,2018-03-10 21:44:07,0.135s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:44:07,2018-03-10 21:44:08,0.251s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:44:08,2018-03-10 21:44:08,0.166s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:44:08,2018-03-10 21:44:08,0.166s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:44:08,2018-03-10 21:44:09,1.181s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:44:09,2018-03-10 21:44:09,0.269s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:44:09,2018-03-10 21:44:10,1.003s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:44:10,2018-03-10 21:44:11,0.318s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:44:11,2018-03-10 21:44:11,0.348s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:44:11,2018-03-10 21:44:12,1.001s,PASSED
