Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTestCases,IE 11,,2018-03-10 22:52:42,2018-03-10 22:54:42,1m - 59.241s,PASSED
,,,,,,
Test Cases/Existing_user_Purchase,IE 11,,2018-03-10 22:52:44,2018-03-10 22:54:41,1m - 56.542s,PASSED
openBrowser,IE 11,,2018-03-10 22:52:45,2018-03-10 22:52:53,7.874s,PASSED
navigateToUrl,IE 11,,2018-03-10 22:52:53,2018-03-10 22:53:00,7.618s,PASSED
click,IE 11,,2018-03-10 22:53:00,2018-03-10 22:53:02,1.811s,PASSED
setText,IE 11,,2018-03-10 22:53:02,2018-03-10 22:53:08,5.867s,PASSED
setText,IE 11,,2018-03-10 22:53:08,2018-03-10 22:53:10,1.742s,PASSED
click,IE 11,,2018-03-10 22:53:10,2018-03-10 22:53:14,4.823s,PASSED
click,IE 11,,2018-03-10 22:53:14,2018-03-10 22:53:24,9.315s,PASSED
click,IE 11,,2018-03-10 22:53:24,2018-03-10 22:53:25,1.392s,PASSED
setText,IE 11,,2018-03-10 22:53:25,2018-03-10 22:53:26,0.851s,PASSED
click,IE 11,,2018-03-10 22:53:26,2018-03-10 22:53:34,7.768s,PASSED
click,IE 11,,2018-03-10 22:53:34,2018-03-10 22:53:39,5.394s,PASSED
click,IE 11,,2018-03-10 22:53:39,2018-03-10 22:53:41,1.754s,PASSED
click,IE 11,,2018-03-10 22:53:41,2018-03-10 22:53:53,12.129s,PASSED
click,IE 11,,2018-03-10 22:53:53,2018-03-10 22:54:03,10.482s,PASSED
click,IE 11,,2018-03-10 22:54:03,2018-03-10 22:54:05,1.924s,PASSED
click,IE 11,,2018-03-10 22:54:05,2018-03-10 22:54:07,2.082s,PASSED
waitForElementClickable,IE 11,,2018-03-10 22:54:07,2018-03-10 22:54:17,9.327s,PASSED
click,IE 11,,2018-03-10 22:54:17,2018-03-10 22:54:25,8.056s,PASSED
click,IE 11,,2018-03-10 22:54:25,2018-03-10 22:54:27,1.736s,PASSED
delay,IE 11,,2018-03-10 22:54:27,2018-03-10 22:54:29,2.045s,PASSED
click,IE 11,,2018-03-10 22:54:29,2018-03-10 22:54:30,1.318s,PASSED
Statement - a = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Purchase_Existinguser/Page_CengageUS - Order Confirmation (1)/b_3770012)),IE 11,,2018-03-10 22:54:30,2018-03-10 22:54:41,10.539s,PASSED
