Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Webassign,Chrome 63.0.3239.132,,2018-02-26 16:19:08,2018-02-26 16:19:56,47.652s,FAILED
,,,,,,
Test Cases/WebAssign_NewUser,Chrome 63.0.3239.132,,2018-02-26 16:19:09,2018-02-26 16:19:55,46.264s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-02-26 16:19:09,2018-02-26 16:19:14,5.175s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-26 16:19:14,2018-02-26 16:19:17,3.006s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:19:17,2018-02-26 16:19:18,0.336s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:19:18,2018-02-26 16:19:19,0.915s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:19:19,2018-02-26 16:19:19,0.455s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:19:19,2018-02-26 16:19:19,0.260s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:19:19,2018-02-26 16:19:20,0.222s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:19:20,2018-02-26 16:19:20,0.144s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:19:20,2018-02-26 16:19:20,0.681s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:19:20,2018-02-26 16:19:21,0.178s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:19:21,2018-02-26 16:19:21,0.438s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:19:21,2018-02-26 16:19:21,0.290s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:19:21,2018-02-26 16:19:21,0.233s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:19:21,2018-02-26 16:19:22,0.274s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:19:22,2018-02-26 16:19:22,0.218s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:19:22,2018-02-26 16:19:22,0.128s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:19:22,2018-02-26 16:19:22,0.134s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:19:22,2018-02-26 16:19:55,32.672s,FAILED
